service,subject,description,urgency
checkout,Stuck on checkout page,I've tried this several times and it's getting frustrating. My shipping address is valid but the form keeps saying it cannot be verified.,medium
order tracking,Where is my order?,tracking is wrong,medium
login,2FA code never arrives,"I've already retried a few times with no luck. The password reset link opens, but after setting a new password I still cannot log in. I can work around it for now.",low
checkout,Checkout button does nothing,"I've tried this several times and it's getting frustrating. I can add products to the cart, but the checkout button does not move to the next step. The problem happens on both desktop and mobile. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
notification,Push notifications stopped,I'm a bit confused by what the site is showing me. Push notifications used to work and stopped without me changing any settings. This happens in Safari on my iPhone.,critical
payments,Payment declined but card is valid,payment problem,medium
checkout,Stuck on checkout page,"The page spins forever after I click Place order. I tried both Wi-Fi and mobile data. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. Please treat this as urgent; I am completely blocked. Reference: order/account details can be provided if needed.",critical
payments,Charged twice for one order,"The card was charged, but I never received an order number or confirmation. I have not changed any account settings recently. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,No tracking information available,"I'm seeing a consistent problem with this. The package has been marked 'in transit' in the same location for days. This happens in Safari on my iPhone. It's not blocking me right now, but I wanted to report it.",low
search,Search returns no results,"Hello, I wanted to report a problem. Changing the sort order clears the filters I already selected. I tried both Wi-Fi and mobile data. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can work around it for now. Reference: order/account details can be provided if needed.",low
order tracking,No tracking information available,"Maybe I'm missing something, but this doesn't make sense. The tracking page has shown the same status for several days. I have not changed any account settings recently. I can wait a little, but I do need this resolved.",medium
order tracking,Order status doesn't match carrier,"The tracking page has shown the same status for several days. This happens in Safari on my iPhone. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,Wrong tracking number,where is my order?,medium
notification,Getting duplicate notifications,SMS notifications stopped arriving even though my phone number is correct. I already cleared cookies and tried again.,medium
payments,Charged twice for one order,"Hello, I wanted to report a problem. My bank shows the payment as approved, but your site says it was declined. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Card charged but order not created,"Hi, I noticed an issue. The refund is marked completed in my account, but the money is not back on my card.",low
search,Can't find an item I bought before,Changing the sort order clears the filters I already selected. I tried both Wi-Fi and mobile data. Could someone look into this today if possible?,medium
search,Search results are irrelevant,"Hi, I noticed an issue. The category filter is selected, but products from other categories are still shown. I have not changed any account settings recently.",medium
search,Search is very slow,"Hi, I noticed an issue. Searching for an exact product name returns unrelated items. I have not changed any account settings recently. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
search,URGENT: Can't find an item I bought before,"Seriously, what is going on? The category filter is selected, but products from other categories are still shown. I already cleared cookies and tried again. I can wait a little, but I do need this resolved. I need an actual answer, not a generic response.",medium
notification,Getting duplicate notifications,"Hi, could you please help me with this? The order appears in my account, but I never received the confirmation email. I'm using Chrome on Windows 11. This is preventing me from using the service. Thanks.",high
checkout,Can't place my order,"I don't understand what is happening. Applying a discount code makes the checkout page reload and lose my details. I tried both Wi-Fi and mobile data. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue.",high
notification,Shipping email has wrong info,"I've already retried a few times with no luck. The order appears in my account, but I never received the confirmation email. This started after the latest app update. This is preventing me from using the service.",high
search,Filters not working,This keeps happening and I'm running out of things to try. search doesn't work,high
payments,Apple Pay failed,"I'm a bit confused by what the site is showing me. The card was charged, but I never received an order number or confirmation.",medium
checkout,Order issue,can't buy anything,medium
payments,Apple Pay failed,"I can see two identical charges for the same purchase. I can wait a little, but I do need this resolved.",medium
checkout,Checkout won't complete,The cart becomes empty as soon as I reach the payment step. I tried both Wi-Fi and mobile data. Could someone look into this today if possible?,medium
payments,Wrong amount charged,payment failed again,high
checkout,Can't place my order,"Hi, I noticed an issue. There is no delivery method available even though you normally ship to my postcode. This started after the latest app update. Could someone look into this today if possible?",medium
notification,SMS alerts not arriving,"This is really frustrating. The email says my order was cancelled, but the order page says it has shipped. It worked normally yesterday. I need an actual answer, not a generic response.",high
payments,Payment page error,"My bank shows the payment as approved, but your site says it was declined. I also tried from another browser. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
order tracking,Wrong tracking number,Your order page and the carrier page show different delivery statuses. I already cleared cookies and tried again. This is preventing me from using the service.,high
login,Login issue on mobile,I've tried this several times and it's getting frustrating. I requested the two-factor code several times and nothing has arrived. I need this fixed today because I cannot continue.,high
login,Can't sign in,"I've tried this several times and it's getting frustrating. I enter the correct email and password but the page sends me back to the sign-in screen. I tried both Wi-Fi and mobile data. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I can wait a little, but I do need this resolved.",medium
payments,Still broken: Payment pending for too long,This should not be this difficult. The payment has been showing as pending since yesterday. I have not changed any account settings recently. I need this fixed today because I cannot continue. Please fix this.,high
payments,Payment pending for too long,"This keeps happening and I'm running out of things to try. I can see two identical charges for the same purchase. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
order tracking,Tracking hasn't updated,Your order page and the carrier page show different delivery statuses. I'm using Chrome on Windows 11. I need this fixed today because I cannot continue.,high
notification,Notifications,emails not working,high
login,Login keeps failing,"This keeps happening and I'm running out of things to try. Login works in the browser but not in the mobile app. I have not changed any account settings recently. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue.",high
login,Unable to access my account,I'm a bit confused by what the site is showing me. Login works in the browser but not in the mobile app. I also tried from another browser. This is blocking my purchase and I need help as soon as possible.,high
login,Signed out every time I refresh,"Hello, I wanted to report a problem. The password reset link opens, but after setting a new password I still cannot log in. It worked normally yesterday. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. Could someone look into this today if possible?",medium
login,Account locked after login attempt,login broken,medium
payments,Payment issue,payment problem,low
notification,Getting duplicate notifications,"Push notifications used to work and stopped without me changing any settings. I'm using Chrome on Windows 11. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
order tracking,Package stuck in transit,This keeps happening and I'm running out of things to try. The tracking link in the email opens a 404 page.,low
search,Search is very slow,"Searching for an exact product name returns unrelated items. I have not changed any account settings recently. I can wait a little, but I do need this resolved.",medium
login,Password reset not working,"I enter the correct email and password but the page sends me back to the sign-in screen. I also tried from another browser. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. Could someone look into this today if possible?",medium
notification,Still broken: Getting duplicate notifications,"I've already wasted too much time on this. I receive the same shipping notification three or four times. I tried both Wi-Fi and mobile data. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. It's inconvenient and I haven't been able to finish what I was trying to do. I need an actual answer, not a generic response.",medium
search,Sorting changes my filters,Just reporting something I ran into. Search takes around 20 seconds before showing results. Could someone look into this today if possible?,medium
checkout,Promo code breaks checkout,"Maybe I'm missing something, but this doesn't make sense. My shipping address is valid but the form keeps saying it cannot be verified. I have not changed any account settings recently. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is blocking my purchase and I need help as soon as possible.",high
notification,Wrong notification sent,"I'm seeing a consistent problem with this. The email says my order was cancelled, but the order page says it has shipped.",medium
search,Search results are irrelevant,Just reporting something I ran into. Search takes around 20 seconds before showing results. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
order tracking,Tracking hasn't updated,The tracking page has shown the same status for several days. Could someone look into this today if possible?,medium
login,Signed out every time I refresh,"This keeps happening and I'm running out of things to try. I get an 'unexpected error' immediately after pressing Sign in. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible.",low
search,Product missing from search,"Hello, I hope you can help. Search takes around 20 seconds before showing results. This started after the latest app update. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed. Thanks.",medium
order tracking,Wrong tracking number,I've tried this several times and it's getting frustrating. where is my order?,medium
order tracking,Package stuck in transit,"I've tried this several times and it's getting frustrating. Your order page and the carrier page show different delivery statuses. I tried both Wi-Fi and mobile data. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can wait a little, but I do need this resolved.",medium
order tracking,Delivery date keeps changing,"This keeps happening and I'm running out of things to try. The tracking link in the email opens a 404 page. I also tried from another browser. I can wait a little, but I do need this resolved.",medium
payments,Refund not received,"Hello, I wanted to report a problem. The refund is marked completed in my account, but the money is not back on my card. This started after the latest app update. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
order tracking,Order status doesn't match carrier,"Hi, I noticed an issue. The tracking number is not recognized by the carrier. This started after the latest app update.",medium
payments,Charged twice for one order,"This is really frustrating. My bank shows the payment as approved, but your site says it was declined. Can someone sort this out?",medium
login,Login issue on mobile,"The password reset link opens, but after setting a new password I still cannot log in. It worked normally yesterday. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible.",low
notification,Shipping email has wrong info,"I'm seeing a consistent problem with this. I disabled marketing emails, but I am still receiving them.",medium
checkout,Stuck on checkout page,I've already retried a few times with no luck. Applying a discount code makes the checkout page reload and lose my details. I tried both Wi-Fi and mobile data. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
search,Filters not working,Could someone please take a look? Changing the sort order clears the filters I already selected. I reproduced it twice this morning. Thanks.,medium
login,Can't sign in,I've tried this several times and it's getting frustrating. I get an 'unexpected error' immediately after pressing Sign in.,high
search,Sorting changes my filters,"The category filter is selected, but products from other categories are still shown. I also tried from another browser. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I need this fixed today because I cannot continue.",high
checkout,Checkout button does nothing,"Seriously, what is going on? Applying a discount code makes the checkout page reload and lose my details. It's not blocking me right now, but I wanted to report it. Please fix this.",low
payments,Payment declined but card is valid,I've tried this several times and it's getting frustrating. Apple Pay closes after Face ID and returns me to the payment page. It worked normally yesterday. I need this fixed today because I cannot continue.,high
payments,Apple Pay failed,"Maybe I'm missing something, but this doesn't make sense. I can see two identical charges for the same purchase.",high
checkout,Checkout button does nothing,"Hi, could you please help me with this? The cart becomes empty as soon as I reach the payment step. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. Could someone look into this today if possible? Thanks.",medium
login,Can't sign in,I requested the two-factor code several times and nothing has arrived.,medium
order tracking,Order says delivered but isn't here,"Hi, could you please help me with this? Your site says the package was delivered, but nothing was delivered to my address. I tried both Wi-Fi and mobile data. Thanks.",high
payments,Payment page error,"Hi, I noticed an issue. The card was charged, but I never received an order number or confirmation. It's not blocking me right now, but I wanted to report it.",low
checkout,Checkout won't complete,"I'm not sure if I'm doing something wrong. I can add products to the cart, but the checkout button does not move to the next step. I have not changed any account settings recently. I need someone to investigate this immediately.",critical
payments,Wrong amount charged,I've already wasted too much time on this. The payment has been showing as pending since yesterday. I'm using Chrome on Windows 11. Please fix this.,medium
search,Search is very slow,This keeps happening and I'm running out of things to try. A product I can open from my order history does not appear in search.,medium
order tracking,Wrong tracking number,I've already retried a few times with no luck. The package has been marked 'in transit' in the same location for days. Please treat this as urgent; I am completely blocked.,critical
checkout,Address rejected during checkout,"Hi, I noticed an issue. The cart becomes empty as soon as I reach the payment step. I also tried from another browser. I can work around it for now.",low
payments,Card charged but order not created,"Just reporting something I ran into. The card was charged, but I never received an order number or confirmation. I also tried from another browser. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
login,Password reset not working,"The password reset link opens, but after setting a new password I still cannot log in. This started after the latest app update. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
payments,Apple Pay failed,"Just reporting something I ran into. My bank shows the payment as approved, but your site says it was declined. I already cleared cookies and tried again. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is urgent because money/order access is affected and I need immediate assistance.",critical
order tracking,Package stuck in transit,"Your site says the package was delivered, but nothing was delivered to my address. It worked normally yesterday. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can work around it for now. Reference: order/account details can be provided if needed.",low
checkout,Cart resets at checkout,"The cart becomes empty as soon as I reach the payment step. I already cleared cookies and tried again. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
notification,Too many notifications,"Could someone please take a look? The email says my order was cancelled, but the order page says it has shipped. I also tried from another browser. Thanks.",medium
order tracking,Wrong tracking number,I don't understand what is happening. Your order page and the carrier page show different delivery statuses. The problem happens on both desktop and mobile.,medium
login,Unable to access my account,This is really frustrating. I requested the two-factor code several times and nothing has arrived. I reproduced it twice this morning. I need someone to investigate this immediately. Please fix this.,critical
notification,Getting duplicate notifications,"Maybe I'm missing something, but this doesn't make sense. I disabled marketing emails, but I am still receiving them. I reproduced it twice this morning. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I need someone to investigate this immediately. Reference: order/account details can be provided if needed.",critical
payments,Refund not received,"Hello, I hope you can help. The payment has been showing as pending since yesterday. Thanks.",high
checkout,Checkout button does nothing,"Hello, I wanted to report a problem. My shipping address is valid but the form keeps saying it cannot be verified. I'm using Chrome on Windows 11.",low
search,Search results are irrelevant,A product I can open from my order history does not appear in search. I already cleared cookies and tried again. I can work around it for now.,low
login,Login keeps failing,"Just reporting something I ran into. The password reset link opens, but after setting a new password I still cannot log in.",low
order tracking,Tracking link is broken,"Hi, I noticed an issue. Your site says the package was delivered, but nothing was delivered to my address. I already cleared cookies and tried again.",low
checkout,Delivery option missing at checkout,I'm seeing a consistent problem with this. The cart becomes empty as soon as I reach the payment step. I also tried from another browser.,high
login,Login issue,can't get into my account,critical
payments,Payment issue,I've tried this several times and it's getting frustrating. payment problem,medium
search,Sorting changes my filters,"The category filter is selected, but products from other categories are still shown. The problem happens on both desktop and mobile. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved.",medium
payments,Card charged but order not created,"The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
login,Account locked after login attempt,"Hi team, I'm having an issue and would appreciate some help. Login works in the browser but not in the mobile app. This happens in Safari on my iPhone. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
login,Login issue on mobile,I've tried this several times and it's getting frustrating. I requested the two-factor code several times and nothing has arrived. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
login,Unable to access my account,"I've already retried a few times with no luck. The password reset link opens, but after setting a new password I still cannot log in.",critical
checkout,Promo code breaks checkout,"I don't understand what is happening. The page spins forever after I click Place order. I tried both Wi-Fi and mobile data. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
order tracking,Package stuck in transit,Just reporting something I ran into. The tracking number is not recognized by the carrier.,medium
payments,Card problem,payment problem,low
checkout,Checkout won't complete,"I can add products to the cart, but the checkout button does not move to the next step. I reproduced it twice this morning. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
search,Can't find an item I bought before,"I've already retried a few times with no luck. The category filter is selected, but products from other categories are still shown. I'm using Chrome on Windows 11. This is blocking my purchase and I need help as soon as possible.",high
notification,Shipping email has wrong info,"Hello, I wanted to report a problem. The order appears in my account, but I never received the confirmation email. I can work around it for now.",low
payments,Payment page error,payement problem,high
order tracking,Tracking link is broken,"I'm not sure if I'm doing something wrong. The tracking page has shown the same status for several days. I also tried from another browser. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
payments,Card charged but order not created,I'm seeing a consistent problem with this. I can see two identical charges for the same purchase.,high
checkout,Delivery option missing at checkout,"Just reporting something I ran into. I can add products to the cart, but the checkout button does not move to the next step. I reproduced it twice this morning. This is preventing me from using the service.",high
checkout,Delivery option missing at checkout,"My shipping address is valid but the form keeps saying it cannot be verified. The problem happens on both desktop and mobile. No rush, but please check when possible.",low
login,Password reset not working,"Hi, could you please help me with this? I enter the correct email and password but the page sends me back to the sign-in screen. It worked normally yesterday. Thanks.",high
search,Product missing from search,"The category filter is selected, but products from other categories are still shown. I reproduced it twice this morning.",critical
checkout,Address rejected during checkout,I'm getting very annoyed with this. The cart becomes empty as soon as I reach the payment step. I have not changed any account settings recently. This has happened more than once.,low
login,Password reset not working,why am I locked out?,medium
payments,Payment declined but card is valid,I've tried this several times and it's getting frustrating. I can see two identical charges for the same purchase.,medium
notification,Too many notifications,"I've already retried a few times with no luck. I disabled marketing emails, but I am still receiving them. I tried both Wi-Fi and mobile data.",high
payments,Wrong amount charged,"I've tried this several times and it's getting frustrating. My bank shows the payment as approved, but your site says it was declined. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved.",medium
login,Signed out every time I refresh,Just reporting something I ran into. Login works in the browser but not in the mobile app. I'm using Chrome on Windows 11.,low
login,Login issue on mobile,"The password reset link opens, but after setting a new password I still cannot log in. I already cleared cookies and tried again. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. Could someone look into this today if possible?",medium
payments,Apple Pay failed,"Maybe I'm missing something, but this doesn't make sense. My bank shows the payment as approved, but your site says it was declined. I'm using Chrome on Windows 11. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
login,Account locked after login attempt,"I'm not sure if I'm doing something wrong. The password reset link opens, but after setting a new password I still cannot log in.",critical
login,2FA code never arrives,"The password reset link opens, but after setting a new password I still cannot log in. This started after the latest app update. This is blocking my purchase and I need help as soon as possible.",high
payments,Payment page error,"Hello, I wanted to report a problem. My bank shows the payment as approved, but your site says it was declined. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,Tracking link is broken,"Hi team, I'm having an issue and would appreciate some help. The tracking page has shown the same status for several days. This started after the latest app update. It's not blocking me right now, but I wanted to report it. Thanks.",low
order tracking,No tracking information available,"I've already wasted too much time on this. Your order page and the carrier page show different delivery statuses. I also tried from another browser. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Please treat this as urgent; I am completely blocked. Reference: order/account details can be provided if needed. Can someone sort this out?",critical
payments,Wrong amount charged,card issue,medium
notification,Shipping email has wrong info,"Hi, I noticed an issue. Push notifications used to work and stopped without me changing any settings.",critical
payments,Payment page error,"I've tried this several times and it's getting frustrating. The card was charged, but I never received an order number or confirmation. I already cleared cookies and tried again. I need this fixed today because I cannot continue.",high
payments,Payment pending for too long,"Hi, I noticed an issue. The card was charged, but I never received an order number or confirmation. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.",high
payments,Card charged but order not created,"Hello, I wanted to report a problem. The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is blocking my purchase and I need help as soon as possible.",high
order tracking,Package stuck in transit,I don't understand what is happening. The tracking link in the email opens a 404 page.,high
notification,Wrong notification sent,This should not be this difficult. I receive the same shipping notification three or four times. The problem happens on both desktop and mobile. Can someone sort this out?,medium
checkout,Can't place my order,"Just reporting something I ran into. I can add products to the cart, but the checkout button does not move to the next step. I also tried from another browser.",low
checkout,Stuck on checkout page,"Could someone please take a look? The page spins forever after I click Place order. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. No rush, but please check when possible. Reference: order/account details can be provided if needed. Thanks.",low
checkout,Stuck on checkout page,"I've tried this several times and it's getting frustrating. There is no delivery method available even though you normally ship to my postcode. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
login,Login keeps failing,I've already retried a few times with no luck. I enter the correct email and password but the page sends me back to the sign-in screen. I also tried from another browser. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
payments,Refund not received,"I can see two identical charges for the same purchase. I reproduced it twice this morning. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
search,Filters not working,"Hi, I noticed an issue. Changing the sort order clears the filters I already selected. It worked normally yesterday. It's not blocking me right now, but I wanted to report it.",low
payments,Payment pending for too long,The payment has been showing as pending since yesterday. It worked normally yesterday. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
payments,Card charged but order not created,"I can see two identical charges for the same purchase. I reproduced it twice this morning. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
order tracking,No tracking information available,This keeps happening and I'm running out of things to try. package???,critical
search,Sorting changes my filters,I've tried this several times and it's getting frustrating. The results page reloads whenever I scroll down. I also tried from another browser. I need this fixed today because I cannot continue.,high
checkout,Delivery option missing at checkout,i've already retried a few times with no luck. can't buy anything,medium
checkout,Checkout button does nothing,"The page spins forever after I click Place order. I tried both Wi-Fi and mobile data. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
search,Sorting changes my filters,"Hi, I noticed an issue. Changing the sort order clears the filters I already selected. I already cleared cookies and tried again. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
login,Signed out every time I refresh,"I'm seeing a consistent problem with this. Login works in the browser but not in the mobile app. I already cleared cookies and tried again. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
order tracking,Tracking link is broken,"Just reporting something I ran into. Your site says the package was delivered, but nothing was delivered to my address.",medium
notification,Push notifications stopped,"I'm not sure if I'm doing something wrong. The order appears in my account, but I never received the confirmation email. I have not changed any account settings recently. I can wait a little, but I do need this resolved.",medium
payments,Charged twice for one order,Just reporting something I ran into. The payment has been showing as pending since yesterday. I also tried from another browser.,high
login,Password reset not working,Just reporting something I ran into. Login works in the browser but not in the mobile app. The problem happens on both desktop and mobile.,high
notification,Too many notifications,"Seriously, what is going on? I disabled marketing emails, but I am still receiving them. I tried both Wi-Fi and mobile data. I can work around it for now. Can someone sort this out?",low
payments,Card problem,I think I got charged wrong,low
order tracking,Tracking link is broken,"The tracking link in the email opens a 404 page. It worked normally yesterday. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible?",medium
order tracking,Tracking hasn't updated,"Maybe I'm missing something, but this doesn't make sense. The tracking link in the email opens a 404 page. The problem happens on both desktop and mobile. This is blocking my purchase and I need help as soon as possible.",high
login,Password reset not working,"The password reset link opens, but after setting a new password I still cannot log in. The problem happens on both desktop and mobile.",medium
search,Search results are irrelevant,"The category filter is selected, but products from other categories are still shown. This happens in Safari on my iPhone.",high
payments,Payment pending for too long,The payment has been showing as pending since yesterday. This happens in Safari on my iPhone. This is blocking my purchase and I need help as soon as possible.,high
checkout,Can't place my order,"This keeps happening and I'm running out of things to try. I can add products to the cart, but the checkout button does not move to the next step.",medium
login,Signed out every time I refresh,"I get an 'unexpected error' immediately after pressing Sign in. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's not blocking me right now, but I wanted to report it.",low
order tracking,No tracking information available,"I'm a bit confused by what the site is showing me. The tracking page has shown the same status for several days. The problem happens on both desktop and mobile. I can wait a little, but I do need this resolved.",medium
payments,Payment declined but card is valid,"I've already wasted too much time on this. I can see two identical charges for the same purchase. This started after the latest app update. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. I need an actual answer, not a generic response.",medium
payments,Refund not received,"I've tried this several times and it's getting frustrating. My bank shows the payment as approved, but your site says it was declined. I can wait a little, but I do need this resolved.",medium
login,Login keeps failing,"Hi, I noticed an issue. Login works in the browser but not in the mobile app. I also tried from another browser.",medium
order tracking,Order says delivered but isn't here,I'm a bit confused by what the site is showing me. The tracking number is not recognized by the carrier. This started after the latest app update.,medium
login,Login keeps failing,I've tried this several times and it's getting frustrating. I requested the two-factor code several times and nothing has arrived. I'm using Chrome on Windows 11. I need someone to investigate this immediately.,critical
login,Login issue on mobile,"Hi team, I'm having an issue and would appreciate some help. The password reset link opens, but after setting a new password I still cannot log in. I reproduced it twice this morning. This is urgent because money/order access is affected and I need immediate assistance. Thanks.",critical
search,Filters not working,"I'm seeing a consistent problem with this. The results page reloads whenever I scroll down. I'm using Chrome on Windows 11. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is preventing me from using the service.",high
payments,Wrong amount charged,"The refund is marked completed in my account, but the money is not back on my card. The problem happens on both desktop and mobile. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved.",medium
order tracking,Order says delivered but isn't here,"I'm getting very annoyed with this. The tracking number is not recognized by the carrier. The problem happens on both desktop and mobile. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's inconvenient and I haven't been able to finish what I was trying to do. This has happened more than once.",medium
payments,Payment pending for too long,"Maybe I'm missing something, but this doesn't make sense. The refund is marked completed in my account, but the money is not back on my card. No rush, but please check when possible.",low
payments,Payment declined but card is valid,"I'm seeing a consistent problem with this. Apple Pay closes after Face ID and returns me to the payment page. I also tried from another browser. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
notification,SMS alerts not arriving,"I'm a bit confused by what the site is showing me. Push notifications used to work and stopped without me changing any settings. It worked normally yesterday. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
payments,Payment declined but card is valid,"This keeps happening and I'm running out of things to try. My bank shows the payment as approved, but your site says it was declined. This started after the latest app update. I can wait a little, but I do need this resolved.",medium
search,Filters not working,"Hello, I wanted to report a problem. A product I can open from my order history does not appear in search. I also tried from another browser. This is urgent because money/order access is affected and I need immediate assistance.",critical
payments,Payment page error,"I've already retried a few times with no luck. My bank shows the payment as approved, but your site says it was declined. I need someone to investigate this immediately.",critical
search,Can't find an item I bought before,Searching for an exact product name returns unrelated items. I already cleared cookies and tried again. This is urgent because money/order access is affected and I need immediate assistance.,critical
payments,Payment pending for too long,I've tried this several times and it's getting frustrating. I can see two identical charges for the same purchase. I can work around it for now.,low
